SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
176,2.15,BLK 988 BUANGKOK GREEN,HG98,32938.9335,40216.0826,MULTI-STOREY CAR PARK
177,0,BLK 174A-174D HOUGANG AVENUE 1,HG99,34202.0544,36839.2199,SURFACE CAR PARK
178,4.5,BLK 304/307/319 ANG MO KIO STREET 31,A20,29684.7366,38554.0251,SURFACE CAR PARK
179,4.5,BLK 647A JURONG WEST STREET 61,JS5L,12828.9589,35710.5525,SURFACE CAR PARK
180,0,BLK 51 MARINE TERRACE,MP17,37231.475,32107.329,SURFACE CAR PARK
181,2.15,BLK 421A NORTHSHORE DRIVE,PL81,35919.5379,44619.0472,BASEMENT CAR PARK
182,3,BLK 222 BEDOK NORTH DRIVE,B8B,38531.1666,34114.4997,BASEMENT CAR PARK
183,2.15,BLK 465 FERNVALE ROAD,S118,32792.4874,42224.4283,MULTI-STOREY CAR PARK
184,2.15,BLK 290A BISHAN STREET 24,BE42,29249.7223,37516.6532,MULTI-STOREY CAR PARK
185,1.9,BLK 841A JURONG WEST STREET 81,J75M,12397.1268,36260.1612,MULTI-STOREY CAR PARK
186,2.15,BLK 463 SEMBAWANG DRIVE,SB31,25908.3774,48570.2721,MULTI-STOREY CAR PARK
187,0,"BLK 993A-993B, 994A-994C, 995A-995D, BUANGKOK CRESCENT/BUANGKOK LINK",HG3L,33373.4677,40905.5905,SURFACE CAR PARK
188,2.15,BLK 208A BOON LAY PLACE,BL18,14768.3178,36520.4472,MULTI-STOREY CAR PARK
189,4.5,BLK 201/206 BISHAN STREET 23,BE24,29576.3203,37491.2812,SURFACE CAR PARK
190,0,BLK 409/411 PANDAN GARDENS,P17,18436.3162,33454.2597,SURFACE CAR PARK
191,4.5,BLK 429/432 TAMPINES STREET 41,T75,41035.8679,37933.5266,SURFACE CAR PARK
192,2.15,BLK 289 COMPASSVALE CRESCENT,S108,35081.2721,42217.8028,MULTI-STOREY CAR PARK
193,2.3,BLK 681/682 RACE COURSE ROAD,BKE2,30466.3496,32935.1367,SURFACE CAR PARK
194,2.3,BLK 682/683 RACE COURSE ROAD,BKE3,30502.0605,32966.8867,SURFACE CAR PARK
195,0,"BLK 978C TO 981D, 982, 987A TO 988C BUANGKOK CRESCENT/GREEN",H93L,33274.8825,40196.8778,SURFACE CAR PARK
196,1.9,BLK 335 KRETA AYER (LUB),KAML,29106.1357,29419.0762,SURFACE CAR PARK
197,1.8,BLK 31 KELANTAN LANE MSCP,KLM,30613.3563,32065.8984,MULTI-STOREY CAR PARK
198,2,BLK 56A CASSIA CRESCENT,KM1,33634.3718,32491.1189,MULTI-STOREY CAR PARK
199,2.15,BLK 339 SEMBAWANG CLOSE,SB16,26218.5396,47769.2359,MULTI-STOREY CAR PARK
200,2.15,BLK 478 YISHUN STREET 42,Y82M,29935.5818,45679.7181,MULTI-STOREY CAR PARK
201,2.15,BLK 37A JALAN RUMAH TINGGI,JRTM,25441.3095,30196.268,MULTI-STOREY CAR PARK
202,4.5,BLK 409-419 FAJAR ROAD,BJ19,20773.5976,40665.0357,SURFACE CAR PARK
203,1.8,BLK 514 BISHAN STREET 13,BE23,29830.0702,36912.2681,MULTI-STOREY CAR PARK
204,2.15,BLK 476A SEMBAWANG DRIVE,SB11,26146.3836,48155.5365,MULTI-STOREY CAR PARK
205,0,BLK 182 RIVERVALE CRESCENT,SK82,36424.4447,41417.9477,SURFACE CAR PARK
206,2.1,BLK 309 CHOA CHU KANG AVENUE 4,CCKC,18254.4236,40780.2921,BASEMENT CAR PARK
207,0,BLK 704-714 CLEMENTI WEST STREET 2,C35,20000.4883,31993.6074,SURFACE CAR PARK
